ID,Modelo,Sismo,PGA,PGV,PGD,Dur,Ia,T,Costo,R1,R2,R3,R4,R5,R6,D1,D2,D3,D4,D5,D6
1,1,6,2.35,0.75,0.41,97.33,7.31,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.0041199,0.00381834,0.00456017,0.004021,0.0010718,0.000562
2,1,0,2.81,0.44,0.22,55.44,3.35,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00612788,0.00580462,0.0068952,0.0065362,0.0017347,0.0009518
3,1,2,2.24,0.36,0.14,55.09,2.71,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00721305,0.00738355,0.0091971,0.0082476,0.0019071,0.0010113
4,1,1,2.14,0.44,0.26,59.1,3.02,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00854806,0.00817164,0.0111179,0.0102498,0.0023151,0.0012322
5,1,5,2.15,0.83,0.37,89.27,6.04,0.386820046,18125.22537,4.99914E+12,6.4121E+12,4.57354E+12,2.98089E+12,1.58325E+13,1.32255E+13,0.00379576,0.0033606,0.00375094,0.0033437,0.0009114,0.0004776
6,2,3,1.75,0.34,0.28,45.39,2.03,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0212674,0.0171691,0.002452,0.0020682,0.0115305,0.011784
7,2,6,2.35,0.75,0.41,97.33,7.31,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0116126,0.0096352,0.001598,0.001331,0.0057538,0.0054039
8,2,1,2.14,0.44,0.26,59.1,3.02,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0134818,0.0112767,0.0019582,0.0020248,0.0115078,0.0123099
9,2,2,2.24,0.36,0.14,55.09,2.71,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0176654,0.0152486,0.0023749,0.0021918,0.0122557,0.0120802
10,2,4,2.17,0.78,0.32,90.35,6.79,0.483889598,14443.58981,3.72083E+11,9.32831E+11,2.02047E+13,1.60614E+13,0,0,0.0111515,0.0094682,0.0016436,0.0013962,0.0056355,0.0053271
11,3,5,2.15,0.83,0.37,89.27,6.04,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00459708,0.0014238,0.00176124,0.00142752,0.00145852,0.0009021
12,3,3,1.75,0.34,0.28,45.39,2.03,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.0113771,0.0032975,0.0042089,0.0039777,0.0045401,0.0029134
13,3,0,2.81,0.44,0.22,55.44,3.35,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.0154215,0.0039626,0.0056995,0.0049067,0.0056801,0.0037886
14,3,8,1.92,0.66,0.29,86.89,6.91,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00427048,0.00143738,0.0018228,0.00143762,0.00149598,0.0009453
15,3,10,1.64,0.56,0.22,105.37,5.89,0.35223742,17135.43098,1.91049E+12,1.78717E+13,7.41591E+12,1.00109E+13,4.43095E+12,3.91278E+12,0.00349237,0.001213,0.00157691,0.00123928,0.0013035,0.00082645
16,4,0,2.81,0.44,0.22,55.44,3.35,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00565411,0.01044187,0.0049613,0.0032753,0.0019719,0.0021026
17,4,1,2.14,0.44,0.26,59.1,3.02,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00704774,0.01376686,0.0059765,0.0036338,0.0020867,0.0021848
18,4,6,2.35,0.75,0.41,97.33,7.31,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00442415,0.00731765,0.0035609,0.0021029,0.0012197,0.0012511
19,4,10,1.64,0.56,0.22,105.37,5.89,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00297586,0.00469636,0.00240247,0.0014496,0.0008404,0.0008553
20,4,4,2.17,0.78,0.32,90.35,6.79,0.389765599,16522.06967,5.92992E+12,1.79757E+12,7.76519E+12,7.91897E+12,1.32655E+13,4.76014E+12,0.00333163,0.00513814,0.00253005,0.0014777,0.0008342,0.0008348
21,5,0,2.81,0.44,0.22,55.44,3.35,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00596948,0.0094594,0.0085062,0.0033827,0.0021649,0.00166
22,5,1,2.14,0.44,0.26,59.1,3.02,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00631317,0.00966252,0.0098241,0.0035377,0.0021014,0.0015896
23,5,6,2.35,0.75,0.41,97.33,7.31,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00407753,0.00567305,0.00518796,0.0019524,0.0011629,0.0008678
24,5,3,1.75,0.34,0.28,45.39,2.03,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00732657,0.01098113,0.0109811,0.0038528,0.0023124,0.0017639
25,5,4,2.17,0.78,0.32,90.35,6.79,0.400364506,14323.8244,5.45554E+12,3.43949E+12,3.05651E+12,1.0281E+13,1.05921E+13,8.01501E+12,0.00316264,0.00429907,0.0036861,0.0014131,0.0008309,0.0006249
26,6,4,2.17,0.78,0.32,90.35,6.79,0.379397467,15638.74968,2.96941E+12,1.2815E+13,1.44E+13,4.60403E+12,0,8.06656E+12,0.00393934,0.00173195,0.00133818,0.00255168,0.00377586,0.0009099
27,6,3,1.75,0.34,0.28,45.39,2.03,0.379397467,15638.74968,2.96941E+12,1.2815E+13,1.44E+13,4.60403E+12,0,8.06656E+12,0.0064655,0.00290136,0.00239439,0.0053299,0.010237,0.0020629
28,6,11,1.71,0.61,0.22,93.45,7.31,0.379397467,15638.74968,2.96941E+12,1.2815E+13,1.44E+13,4.60403E+12,0,8.06656E+12,0.00343869,0.00167331,0.00121872,0.00267351,0.00400637,0.0009893
29,6,5,2.15,0.83,0.37,89.27,6.04,0.379397467,15638.74968,2.96941E+12,1.2815E+13,1.44E+13,4.60403E+12,0,8.06656E+12,0.00450695,0.002108,0.00149016,0.00316963,0.0047614,0.0011441
30,6,7,2.3,0.79,0.32,92.57,9.1,0.379397467,15638.74968,2.96941E+12,1.2815E+13,1.44E+13,4.60403E+12,0,8.06656E+12,0.00465994,0.00205896,0.00156361,0.00308559,0.0046821,0.0011213
31,7,7,2.3,0.79,0.32,92.57,9.1,0.486776858,6517.968206,0,5.67063E+12,3.07834E+12,4.03739E+12,0,5.36378E+12,0.0103495,0.004994,0.0045746,0.0041145,0.005161,0.0015042
32,7,2,2.24,0.36,0.14,55.09,2.71,0.486776858,6517.968206,0,5.67063E+12,3.07834E+12,4.03739E+12,0,5.36378E+12,0.0189973,0.0082833,0.0085122,0.0082186,0.0124462,0.0030798
33,7,3,1.75,0.34,0.28,45.39,2.03,0.486776858,6517.968206,0,5.67063E+12,3.07834E+12,4.03739E+12,0,5.36378E+12,0.0139087,0.0064647,0.0059671,0.005615,0.0082218,0.0022787
34,7,10,1.64,0.56,0.22,105.37,5.89,0.486776858,6517.968206,0,5.67063E+12,3.07834E+12,4.03739E+12,0,5.36378E+12,0.00837525,0.00421209,0.0039544,0.0035618,0.0043675,0.0012988
35,7,9,1.93,0.6,0.4,95.82,7.16,0.486776858,6517.968206,0,5.67063E+12,3.07834E+12,4.03739E+12,0,5.36378E+12,0.00941715,0.00470238,0.0043779,0.0039692,0.0051709,0.001532
36,8,5,2.15,0.83,0.37,89.27,6.04,0.38752538,15674.90839,1.09623E+13,3.26491E+12,3.75408E+12,8.39548E+12,4.10893E+12,1.01242E+13,0.0024305,0.0047659,0.0042189,0.0021692,0.0017695,0.0008793
37,8,9,1.93,0.6,0.4,95.82,7.16,0.38752538,15674.90839,1.09623E+13,3.26491E+12,3.75408E+12,8.39548E+12,4.10893E+12,1.01242E+13,0.00188867,0.00363775,0.00321383,0.00165536,0.0013521,0.000678
38,8,8,1.92,0.66,0.29,86.89,6.91,0.38752538,15674.90839,1.09623E+13,3.26491E+12,3.75408E+12,8.39548E+12,4.10893E+12,1.01242E+13,0.00196866,0.00378471,0.00333501,0.00171082,0.001393,0.0006991
39,8,10,1.64,0.56,0.22,105.37,5.89,0.38752538,15674.90839,1.09623E+13,3.26491E+12,3.75408E+12,8.39548E+12,4.10893E+12,1.01242E+13,0.00173669,0.00343454,0.00319073,0.00166783,0.00137385,0.0006403
40,8,1,2.14,0.44,0.26,59.1,3.02,0.38752538,15674.90839,1.09623E+13,3.26491E+12,3.75408E+12,8.39548E+12,4.10893E+12,1.01242E+13,0.00486871,0.01148039,0.0101615,0.0051834,0.0045287,0.0022285
41,9,4,2.17,0.78,0.32,90.35,6.79,0.405826525,12339.8204,3.16349E+12,1.40517E+13,3.82139E+12,1.00109E+12,8.05305E+12,2.56529E+12,0.00388076,0.00175366,0.00351437,0.00430081,0.0014637,0.0010774
42,9,11,1.71,0.61,0.22,93.45,7.31,0.405826525,12339.8204,3.16349E+12,1.40517E+13,3.82139E+12,1.00109E+12,8.05305E+12,2.56529E+12,0.00371681,0.00172389,0.00359541,0.00450119,0.0015524,0.0011563
43,9,7,2.3,0.79,0.32,92.57,9.1,0.405826525,12339.8204,3.16349E+12,1.40517E+13,3.82139E+12,1.00109E+12,8.05305E+12,2.56529E+12,0.00501743,0.00240029,0.00488828,0.0064946,0.0021489,0.0015722
44,9,6,2.35,0.75,0.41,97.33,7.31,0.405826525,12339.8204,3.16349E+12,1.40517E+13,3.82139E+12,1.00109E+12,8.05305E+12,2.56529E+12,0.00438562,0.00215445,0.0044446,0.0059565,0.0020013,0.0014766
45,9,0,2.81,0.44,0.22,55.44,3.35,0.405826525,12339.8204,3.16349E+12,1.40517E+13,3.82139E+12,1.00109E+12,8.05305E+12,2.56529E+12,0.00820058,0.00362182,0.0084538,0.0115405,0.0035686,0.0029507
46,10,4,2.17,0.78,0.32,90.35,6.79,0.435166925,11637.19571,9.68377E+12,0,9.15509E+12,9.23405E+12,0,1.86566E+12,0.00270663,0.00765069,0.00245917,0.0016595,0.0037774,0.0021202
47,10,5,2.15,0.83,0.37,89.27,6.04,0.435166925,11637.19571,9.68377E+12,0,9.15509E+12,9.23405E+12,0,1.86566E+12,0.00247911,0.00690192,0.00235482,0.0015542,0.0036184,0.0020238
48,10,10,1.64,0.56,0.22,105.37,5.89,0.435166925,11637.19571,9.68377E+12,0,9.15509E+12,9.23405E+12,0,1.86566E+12,0.00208431,0.00563081,0.00204536,0.00140942,0.0033132,0.0018675
49,10,3,1.75,0.34,0.28,45.39,2.03,0.435166925,11637.19571,9.68377E+12,0,9.15509E+12,9.23405E+12,0,1.86566E+12,0.00353943,0.01327915,0.0038458,0.003042,0.0094527,0.0050757
50,10,7,2.3,0.79,0.32,92.57,9.1,0.435166925,11637.19571,9.68377E+12,0,9.15509E+12,9.23405E+12,0,1.86566E+12,0.00330927,0.01079561,0.0032788,0.0022454,0.0056857,0.0030362
51,11,1,2.14,0.44,0.26,59.1,3.02,0.431035029,6864.182887,2.65868E+12,5.29607E+12,5.36957E+12,4.54422E+12,1.20077E+12,7.11755E+11,0.00876457,0.00692203,0.0056246,0.0049949,0.0066667,0.005924
52,11,6,2.35,0.75,0.41,97.33,7.31,0.431035029,6864.182887,2.65868E+12,5.29607E+12,5.36957E+12,4.54422E+12,1.20077E+12,7.11755E+11,0.00553875,0.00418536,0.00339354,0.0032748,0.004185,0.0034563
53,11,3,1.75,0.34,0.28,45.39,2.03,0.431035029,6864.182887,2.65868E+12,5.29607E+12,5.36957E+12,4.54422E+12,1.20077E+12,7.11755E+11,0.0101666,0.00837808,0.0079349,0.0076304,0.0120397,0.0101096
54,11,0,2.81,0.44,0.22,55.44,3.35,0.431035029,6864.182887,2.65868E+12,5.29607E+12,5.36957E+12,4.54422E+12,1.20077E+12,7.11755E+11,0.0101956,0.0079862,0.0067535,0.0069019,0.0100235,0.0091424
55,11,10,1.64,0.56,0.22,105.37,5.89,0.431035029,6864.182887,2.65868E+12,5.29607E+12,5.36957E+12,4.54422E+12,1.20077E+12,7.11755E+11,0.00386158,0.0029739,0.00242125,0.00232043,0.002972,0.002341
56,12,4,2.17,0.78,0.32,90.35,6.79,0.396882851,14497.52768,3.27746E+12,1.05949E+13,9.85834E+12,0,6.66088E+12,8.96596E+12,0.00371312,0.00190731,0.00201053,0.00480155,0.0017094,0.000528
57,12,7,2.3,0.79,0.32,92.57,9.1,0.396882851,14497.52768,3.27746E+12,1.05949E+13,9.85834E+12,0,6.66088E+12,8.96596E+12,0.00478361,0.00236296,0.00273631,0.00733441,0.0023984,0.0007347
58,12,11,1.71,0.61,0.22,93.45,7.31,0.396882851,14497.52768,3.27746E+12,1.05949E+13,9.85834E+12,0,6.66088E+12,8.96596E+12,0.00354166,0.00196946,0.00215664,0.00538004,0.0018001,0.0005983
59,12,1,2.14,0.44,0.26,59.1,3.02,0.396882851,14497.52768,3.27746E+12,1.05949E+13,9.85834E+12,0,6.66088E+12,8.96596E+12,0.00637517,0.0031071,0.00390887,0.0146346,0.0040612,0.0012968
60,12,0,2.81,0.44,0.22,55.44,3.35,0.396882851,14497.52768,3.27746E+12,1.05949E+13,9.85834E+12,0,6.66088E+12,8.96596E+12,0.00874758,0.00442572,0.0046089,0.01948868,0.0044696,0.0013699
61,13,8,1.92,0.66,0.29,86.89,6.91,0.653223719,6785.714172,1.18303E+12,0,0,2.38631E+11,1.12851E+13,6.35745E+12,0.0132911,0.0373267,0.0379297,0.0193656,0.002259,0.001126
62,13,6,2.35,0.75,0.41,97.33,7.31,0.653223719,6785.714172,1.18303E+12,0,0,2.38631E+11,1.12851E+13,6.35745E+12,0.0151285,0.0526194,0.0511071,0.022036,0.002359,0.001135
63,13,5,2.15,0.83,0.37,89.27,6.04,0.653223719,6785.714172,1.18303E+12,0,0,2.38631E+11,1.12851E+13,6.35745E+12,0.0126847,0.0332361,0.0323441,0.0168558,0.0021237,0.0009325
64,13,1,2.14,0.44,0.26,59.1,3.02,0.653223719,6785.714172,1.18303E+12,0,0,2.38631E+11,1.12851E+13,6.35745E+12,0.0129,0.0326211,0.0337377,0.0191516,0.0022796,0.0010647
65,13,4,2.17,0.78,0.32,90.35,6.79,0.653223719,6785.714172,1.18303E+12,0,0,2.38631E+11,1.12851E+13,6.35745E+12,0.0142403,0.043268,0.0428777,0.0205289,0.002322,0.001104
66,14,6,2.35,0.75,0.41,97.33,7.31,0.552107117,4752.079424,2.30691E+12,0,2.30876E+12,9.17197E+11,7.39269E+12,1.35015E+11,0.00991879,0.02203337,0.0122418,0.0088189,0.0028916,0.0037773
67,14,11,1.71,0.61,0.22,93.45,7.31,0.552107117,4752.079424,2.30691E+12,0,2.30876E+12,9.17197E+11,7.39269E+12,1.35015E+11,0.00949458,0.01870009,0.0111978,0.0079084,0.0026204,0.0033375
68,14,9,1.93,0.6,0.4,95.82,7.16,0.552107117,4752.079424,2.30691E+12,0,2.30876E+12,9.17197E+11,7.39269E+12,1.35015E+11,0.00802345,0.01416035,0.0089563,0.0064278,0.0021958,0.0026845
69,14,0,2.81,0.44,0.22,55.44,3.35,0.552107117,4752.079424,2.30691E+12,0,2.30876E+12,9.17197E+11,7.39269E+12,1.35015E+11,0.010922,0.0227152,0.0131811,0.0102392,0.0033886,0.0053228
70,14,1,2.14,0.44,0.26,59.1,3.02,0.552107117,4752.079424,2.30691E+12,0,2.30876E+12,9.17197E+11,7.39269E+12,1.35015E+11,0.0109788,0.0325526,0.0144172,0.0110346,0.0035948,0.0054136
71,15,5,2.15,0.83,0.37,89.27,6.04,0.40143602,15319.58581,3.75108E+12,1.34295E+13,5.26212E+11,6.06764E+12,1.43376E+13,3.36729E+12,0.00331052,0.00218992,0.00583271,0.0025043,0.0007797,0.0009734
72,15,11,1.71,0.61,0.22,93.45,7.31,0.40143602,15319.58581,3.75108E+12,1.34295E+13,5.26212E+11,6.06764E+12,1.43376E+13,3.36729E+12,0.0031496,0.00205722,0.0056465,0.0025521,0.0008243,0.0010084
73,15,8,1.92,0.66,0.29,86.89,6.91,0.40143602,15319.58581,3.75108E+12,1.34295E+13,5.26212E+11,6.06764E+12,1.43376E+13,3.36729E+12,0.00299282,0.00189818,0.00497764,0.00228943,0.000745,0.0009031
74,15,10,1.64,0.56,0.22,105.37,5.89,0.40143602,15319.58581,3.75108E+12,1.34295E+13,5.26212E+11,6.06764E+12,1.43376E+13,3.36729E+12,0.00293632,0.00200744,0.00538474,0.0024337,0.0007878,0.0009472
75,15,1,2.14,0.44,0.26,59.1,3.02,0.40143602,15319.58581,3.75108E+12,1.34295E+13,5.26212E+11,6.06764E+12,1.43376E+13,3.36729E+12,0.00534496,0.00384498,0.01427174,0.0050007,0.001694,0.0023524
76,16,3,1.75,0.34,0.28,45.39,2.03,0.393289118,10052.72167,7.53384E+12,1.11764E+13,3.44163E+12,4.31864E+12,1.98146E+12,0,0.0042862,0.00411714,0.00815946,0.0073938,0.0096017,0.0143001
77,16,8,1.92,0.66,0.29,86.89,6.91,0.393289118,10052.72167,7.53384E+12,1.11764E+13,3.44163E+12,4.31864E+12,1.98146E+12,0,0.00200112,0.00167368,0.00275858,0.00235698,0.00242131,0.0026276
78,16,1,2.14,0.44,0.26,59.1,3.02,0.393289118,10052.72167,7.53384E+12,1.11764E+13,3.44163E+12,4.31864E+12,1.98146E+12,0,0.00458948,0.00426332,0.0080966,0.0066459,0.0084447,0.0128118
79,16,7,2.3,0.79,0.32,92.57,9.1,0.393289118,10052.72167,7.53384E+12,1.11764E+13,3.44163E+12,4.31864E+12,1.98146E+12,0,0.00271383,0.00233455,0.00399427,0.00337029,0.0035977,0.0040384
80,16,4,2.17,0.78,0.32,90.35,6.79,0.393289118,10052.72167,7.53384E+12,1.11764E+13,3.44163E+12,4.31864E+12,1.98146E+12,0,0.00228128,0.00193032,0.00324681,0.0026703,0.0027451,0.0028996
81,17,10,1.64,0.56,0.22,105.37,5.89,0.455263643,8991.594328,2.16113E+12,9.02847E+12,1.01753E+13,0,1.1465E+12,1.20719E+12,0.00364146,0.00187015,0.00178298,0.00528926,0.0039437,0.0020044
82,17,7,2.3,0.79,0.32,92.57,9.1,0.455263643,8991.594328,2.16113E+12,9.02847E+12,1.01753E+13,0,1.1465E+12,1.20719E+12,0.00548989,0.00281948,0.00285509,0.0096535,0.0070217,0.0035292
83,17,8,1.92,0.66,0.29,86.89,6.91,0.455263643,8991.594328,2.16113E+12,9.02847E+12,1.01753E+13,0,1.1465E+12,1.20719E+12,0.00395194,0.00204963,0.00192605,0.0056747,0.0041695,0.0021148
84,17,5,2.15,0.83,0.37,89.27,6.04,0.455263643,8991.594328,2.16113E+12,9.02847E+12,1.01753E+13,0,1.1465E+12,1.20719E+12,0.00441747,0.00222388,0.00203359,0.00590725,0.0043141,0.0021725
85,17,3,1.75,0.34,0.28,45.39,2.03,0.455263643,8991.594328,2.16113E+12,9.02847E+12,1.01753E+13,0,1.1465E+12,1.20719E+12,0.00744386,0.00375957,0.00381,0.0154298,0.0108256,0.0056061
86,18,3,1.75,0.34,0.28,45.39,2.03,0.459518875,6449.033038,6.53745E+12,3.44245E+12,4.63003E+12,1.60509E+12,8.20891E+11,5.83019E+11,0.00408676,0.00575796,0.00625452,0.008496,0.0096825,0.0074517
87,18,5,2.15,0.83,0.37,89.27,6.04,0.459518875,6449.033038,6.53745E+12,3.44245E+12,4.63003E+12,1.60509E+12,8.20891E+11,5.83019E+11,0.00288329,0.00365817,0.00348939,0.00429753,0.0040544,0.0026928
88,18,8,1.92,0.66,0.29,86.89,6.91,0.459518875,6449.033038,6.53745E+12,3.44245E+12,4.63003E+12,1.60509E+12,8.20891E+11,5.83019E+11,0.00278105,0.0035325,0.00325858,0.00420534,0.0039783,0.0026441
89,18,1,2.14,0.44,0.26,59.1,3.02,0.459518875,6449.033038,6.53745E+12,3.44245E+12,4.63003E+12,1.60509E+12,8.20891E+11,5.83019E+11,0.00558005,0.00780522,0.007795,0.012372,0.0128754,0.0091915
90,18,10,1.64,0.56,0.22,105.37,5.89,0.459518875,6449.033038,6.53745E+12,3.44245E+12,4.63003E+12,1.60509E+12,8.20891E+11,5.83019E+11,0.00245341,0.00313182,0.00304362,0.00388042,0.0037198,0.0025027
91,19,9,1.93,0.6,0.4,95.82,7.16,0.515432241,9798.300975,1.04059E+13,0,4.95365E+12,0,4.51039E+11,7.63486E+12,0.00258837,0.0084834,0.0056654,0.0084698,0.0061909,0.000952
92,19,11,1.71,0.61,0.22,93.45,7.31,0.515432241,9798.300975,1.04059E+13,0,4.95365E+12,0,4.51039E+11,7.63486E+12,0.0026752,0.0100021,0.0066123,0.0101424,0.0072496,0.0010794
93,19,2,2.24,0.36,0.14,55.09,2.71,0.515432241,9798.300975,1.04059E+13,0,4.95365E+12,0,4.51039E+11,7.63486E+12,0.00339313,0.01350031,0.0087808,0.0152414,0.0117104,0.0016918
94,19,0,2.81,0.44,0.22,55.44,3.35,0.515432241,9798.300975,1.04059E+13,0,4.95365E+12,0,4.51039E+11,7.63486E+12,0.00356591,0.01888991,0.012219,0.022147,0.013994,0.0019078
95,19,10,1.64,0.56,0.22,105.37,5.89,0.515432241,9798.300975,1.04059E+13,0,4.95365E+12,0,4.51039E+11,7.63486E+12,0.00288886,0.01124434,0.0073678,0.0113916,0.0080621,0.0012212
96,20,6,2.35,0.75,0.41,97.33,7.31,0.333062597,17175.81497,1.07044E+13,1.05088E+13,9.94048E+12,4.19196E+12,3.60232E+12,7.20463E+12,0.00196738,0.00188973,0.00178784,0.00238181,0.00193273,0.00076498
97,20,1,2.14,0.44,0.26,59.1,3.02,0.333062597,17175.81497,1.07044E+13,1.05088E+13,9.94048E+12,4.19196E+12,3.60232E+12,7.20463E+12,0.00347996,0.00358938,0.0036353,0.0050963,0.004196,0.0017864
98,20,8,1.92,0.66,0.29,86.89,6.91,0.333062597,17175.81497,1.07044E+13,1.05088E+13,9.94048E+12,4.19196E+12,3.60232E+12,7.20463E+12,0.00173979,0.00168137,0.00157632,0.00208856,0.00168895,0.00066596
99,20,7,2.3,0.79,0.32,92.57,9.1,0.333062597,17175.81497,1.07044E+13,1.05088E+13,9.94048E+12,4.19196E+12,3.60232E+12,7.20463E+12,0.00209754,0.00204681,0.0019332,0.00256392,0.00207233,0.0008185
100,20,3,1.75,0.34,0.28,45.39,2.03,0.333062597,17175.81497,1.07044E+13,1.05088E+13,9.94048E+12,4.19196E+12,3.60232E+12,7.20463E+12,0.0030249,0.00319252,0.00293923,0.00450149,0.0041878,0.00176
101,21,6,2.35,0.75,0.41,97.33,7.31,0.438476025,13338.32183,2.01001E+12,7.21663E+12,5.53876E+12,0,9.29916E+12,9.79136E+12,0.00608464,0.00352566,0.00379814,0.006927,0.0019231,0.0006988
102,21,5,2.15,0.83,0.37,89.27,6.04,0.438476025,13338.32183,2.01001E+12,7.21663E+12,5.53876E+12,0,9.29916E+12,9.79136E+12,0.00465205,0.00277657,0.00310304,0.0051012,0.0014932,0.0005528
103,21,10,1.64,0.56,0.22,105.37,5.89,0.438476025,13338.32183,2.01001E+12,7.21663E+12,5.53876E+12,0,9.29916E+12,9.79136E+12,0.00391156,0.00240554,0.00282478,0.00467731,0.0013906,0.000516
104,21,9,1.93,0.6,0.4,95.82,7.16,0.438476025,13338.32183,2.01001E+12,7.21663E+12,5.53876E+12,0,9.29916E+12,9.79136E+12,0.00432615,0.00271727,0.00307884,0.0050534,0.0014803,0.00055
105,21,0,2.81,0.44,0.22,55.44,3.35,0.438476025,13338.32183,2.01001E+12,7.21663E+12,5.53876E+12,0,9.29916E+12,9.79136E+12,0.0100838,0.00605986,0.0077476,0.0243543,0.0036628,0.0014232
106,22,2,2.24,0.36,0.14,55.09,2.71,0.436963845,8187.401451,1.46007E+12,4.48925E+12,5.62897E+12,3.82403E+12,3.78344E+12,2.78225E+12,0.00889057,0.00642353,0.0048285,0.0052142,0.0043228,0.0029057
107,22,1,2.14,0.44,0.26,59.1,3.02,0.436963845,8187.401451,1.46007E+12,4.48925E+12,5.62897E+12,3.82403E+12,3.78344E+12,2.78225E+12,0.011368,0.0084628,0.0065495,0.0069916,0.0058252,0.0038519
108,22,11,1.71,0.61,0.22,93.45,7.31,0.436963845,8187.401451,1.46007E+12,4.48925E+12,5.62897E+12,3.82403E+12,3.78344E+12,2.78225E+12,0.00550127,0.00395187,0.00282326,0.0026798,0.0020249,0.0013251
109,22,5,2.15,0.83,0.37,89.27,6.04,0.436963845,8187.401451,1.46007E+12,4.48925E+12,5.62897E+12,3.82403E+12,3.78344E+12,2.78225E+12,0.00563781,0.00399041,0.00279477,0.0026265,0.0019721,0.0012598
110,22,6,2.35,0.75,0.41,97.33,7.31,0.436963845,8187.401451,1.46007E+12,4.48925E+12,5.62897E+12,3.82403E+12,3.78344E+12,2.78225E+12,0.00688243,0.00484007,0.0034834,0.0033491,0.0025198,0.0016163
111,23,9,1.93,0.6,0.4,95.82,7.16,0.421343813,8906.892795,3.56858E+12,2.66957E+12,8.1009E+12,4.73591E+12,4.10698E+12,0,0.00367749,0.00392304,0.00215517,0.00203002,0.0019183,0.0025062
112,23,8,1.92,0.66,0.29,86.89,6.91,0.421343813,8906.892795,3.56858E+12,2.66957E+12,8.1009E+12,4.73591E+12,4.10698E+12,0,0.00416485,0.00448412,0.00227853,0.0020729,0.0019162,0.0024787
113,23,2,2.24,0.36,0.14,55.09,2.71,0.421343813,8906.892795,3.56858E+12,2.66957E+12,8.1009E+12,4.73591E+12,4.10698E+12,0,0.00642779,0.00750543,0.0043068,0.0044162,0.0046123,0.0081361
114,23,6,2.35,0.75,0.41,97.33,7.31,0.421343813,8906.892795,3.56858E+12,2.66957E+12,8.1009E+12,4.73591E+12,4.10698E+12,0,0.0048474,0.0053473,0.0027506,0.0025367,0.0024577,0.0034816
115,23,0,2.81,0.44,0.22,55.44,3.35,0.421343813,8906.892795,3.56858E+12,2.66957E+12,8.1009E+12,4.73591E+12,4.10698E+12,0,0.0102269,0.0128373,0.0059142,0.0055105,0.0056765,0.0105877
116,24,1,2.14,0.44,0.26,59.1,3.02,0.443049276,12944.14978,1.10771E+13,6.52982E+12,8.73852E+12,0,3.15727E+11,8.29425E+12,0.00363,0.00473528,0.00503412,0.01885845,0.0151104,0.0022527
117,24,2,2.24,0.36,0.14,55.09,2.71,0.443049276,12944.14978,1.10771E+13,6.52982E+12,8.73852E+12,0,3.15727E+11,8.29425E+12,0.00309109,0.00403687,0.00344054,0.01077834,0.0093924,0.0016306
118,24,4,2.17,0.78,0.32,90.35,6.79,0.443049276,12944.14978,1.10771E+13,6.52982E+12,8.73852E+12,0,3.15727E+11,8.29425E+12,0.00202325,0.00257116,0.00275145,0.00728397,0.0057553,0.0010684
